frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m
0,1,1,0.8882631245680099,0.9310269087583734,0.0013197508900404306
1,1,1,0.7286708856523284,0.7380157084752842,-0.003135550974176697
2,1,1,0.8262233673898292,0.7232543331929763,-0.014206267008032424
3,1,1,0.8383850442956624,0.7498907634098103,-0.03494177781522959
4,1,1,0.854782238565295,0.7394174942674778,-0.05296111884485348
5,1,1,0.7960015430753409,0.8414411253895664,-0.06327392109714498
6,1,1,0.8065189073375534,0.8704870513988516,-0.07905584863606116
7,1,1,0.9173489041554655,0.8810056669886726,-0.10300818696022375
8,1,1,0.8197856138525575,0.8684173489665346,-0.13270905718818657
9,1,1,0.7278887070757626,0.7847291132244748,-0.15599302696171055
10,1,1,0.8832859994971649,0.8647908636057868,-0.17381117825763406
11,1,1,0.8710988959983208,0.8650159559740636,-0.18174931797231028
12,1,1,0.8460300906901733,0.8594505464644641,-0.2004897103949153
13,1,1,0.8994812760826562,0.760447472318498,-0.2108458813512035
14,1,1,0.82353457566441,0.8441459540451025,-0.2148131752285542
15,1,1,0.8384399338951918,0.8548997593847492,-0.22070380738765238
16,1,1,0.8714560354496127,0.8717602924028494,-0.22746476312883102
17,1,1,0.9146024343223553,0.8659000417289238,-0.2332335873822692
18,1,1,0.913527152619379,0.9025876227403035,-0.23513495009996088
19,1,1,0.8933992598851115,0.7791934051937882,-0.22934712321226508
20,1,1,0.7916501634045043,0.8288611893622949,-0.22786545338129244
21,1,1,0.870917688595682,0.8723952717052643,-0.22175868969040385
22,1,1,0.8921865441501756,0.7551685966829369,-0.21180444855124844
23,1,1,0.8701256512118285,0.8548872798645202,-0.20386401995921025
24,1,1,0.8789095828386574,0.6977720434006974,-0.17979398523374615
25,1,1,0.8533283484046622,0.77036561913899,-0.16556977646184629
26,1,1,0.9170044198919134,0.7310794520146487,-0.1575233021886454
27,1,1,0.8507393500722925,0.8992946382062564,-0.13425448907629994
28,1,1,0.898559527349585,0.7542900966703302,-0.11223685925489792
